Entity,Department,Employees_With_OT,Median_OT,P25_OT,P75_OT,Lowest_OT,Highest_OT,Employees_100K_OT,Pct_100K_OT
SOUTH JERSEY PORT CORPORATION,Not Provided,100,7701.13,1724.12,13234.64,17.58,79944.25,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,PC SUPPORT,9,7679.51,4351.68,14265.95,713.96,21842.72,0,0.0
LAW AND PUBLIC SAFETY,STATE POLICE - CIVILIAN EMPLOYEES,863,7579.01,2718.62,17104.46,40.82,83724.44,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,MAINTENANCE,34,7539.76,3657.45,22344.42,90.42,55000.0,0,0.0
HEALTH AND SENIOR SERVICES,OFFICE OF THE CHIEF STATE MEDICAL EXAMINER,57,7030.5,2408.34,12288.71,33.78,42150.16,0,0.0
ENVIRONMENTAL PROTECTION,DIVISION OF SOLID WASTE MANAGEMENT,2,6984.0,6899.34,7068.66,6814.69,7153.31,0,0.0
BANKING AND INSURANCE,BANKING,5,6960.72,5997.32,8944.42,5004.75,10889.8,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,SIGN SHOP,5,6946.13,3326.52,7401.47,731.35,11074.89,0,0.0
MOTOR VEHICLE COMMISSION,"MOTOR VEHICLE AGENCY SERVICES, NORTHERN REGION",587,6650.39,3282.73,10571.62,2.46,31160.05,0,0.0
MOTOR VEHICLE COMMISSION,"MOTOR VEHICLE AGENCY SERVICES, SOUTHERN REGION",587,6605.18,3314.13,10159.9,8.29,24054.64,0,0.0
TRANSPORTATION,TRAFFIC OPERATIONS,242,6552.51,3412.31,14902.23,10.75,88049.48,0,0.0
TRANSPORTATION,OPERATIONS - DRAWBRIDGE,130,6463.66,1641.92,15772.81,30.96,45109.27,0,0.0
NEW JERSEY WATER SUPPLY AUTHORITY,MANASQUAN,18,6233.0,3187.17,8525.61,43.98,10610.46,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,FACILITIES,7,6129.1,2745.36,8719.35,72.41,18878.9,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,TOLLS ADMINISTRATION,22,6002.26,5272.26,8589.32,595.56,12247.41,0,0.0
TRANSPORTATION,AIR AND FREIGHT SERVICES,7,5866.89,1178.14,6619.06,266.34,12032.51,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,ENTERPRISE RESOURCE PLANNING,1,5814.71,5814.71,5814.71,5814.71,5814.71,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,BUILDINGS/CRAFTS/UTILITIES,24,5755.66,2834.24,14632.18,3.17,29295.69,0,0.0
LABOR,ADMINISTRATIVE SERVICES,43,5439.76,2904.06,11314.49,93.32,40116.18,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,TECH DEVICE TECH GSP-NIGHTS,7,5424.89,2441.04,14387.72,34.66,29127.64,0,0.0
HUMAN SERVICES,WOODBINE DEVELOPMENTAL CENTER,530,5381.89,2092.33,14448.51,78.34,51179.79,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,ROADWAY D8 SIGNS,9,5333.15,4075.44,11335.05,2896.57,12343.71,0,0.0
HUMAN SERVICES,GREENBROOK ADMINISTRATION,57,5222.72,1962.71,9616.77,48.69,56413.79,0,0.0
MOTOR VEHICLE COMMISSION,INSPECTION SERVICES,196,5193.98,1950.48,10886.05,39.82,28873.36,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INVENTORY,24,5188.64,3591.54,6717.96,427.6,8691.81,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,JANITORIAL SERVICES,31,5162.68,2498.26,6882.88,797.43,54256.29,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,JARC - CAMDEN,11,5064.28,2291.26,10847.97,241.5,15170.63,0,0.0
LAW AND PUBLIC SAFETY,ALCOHOLIC BEVERAGE CONTROL,27,4965.37,826.92,9190.42,273.56,15942.89,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 17,5,4939.76,1261.5,5332.95,735.48,8747.68,0,0.0
HUMAN SERVICES,DIVISION OF ADDICTION SERVICES,1,4924.2,4924.2,4924.2,4924.2,4924.2,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 5,5,4910.88,1000.5,5833.73,735.48,10112.48,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,ENTERPRISE ASSET MANAGEMENT,2,4887.17,3109.75,6664.59,1332.33,8442.01,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,DATABASE,3,4821.3,3141.27,10774.54,1461.23,16727.77,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 7,13,4742.95,3254.95,7655.37,522.0,20985.79,0,0.0
MILITARY AND VETERANS AFFAIRS,VETERANS HAVEN,28,4535.75,1085.62,19908.7,50.6,57521.82,0,0.0
LAW AND PUBLIC SAFETY,DIVISION OF CIVIL RIGHTS,2,4533.84,3483.82,5583.85,2433.8,6633.87,0,0.0
HUMAN SERVICES,NEW LISBON DEVELOPMENTAL CENTER -L.C.,10,4504.58,3007.15,5948.76,21.35,6612.65,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,FINANCE ADMINISTRATION,1,4488.24,4488.24,4488.24,4488.24,4488.24,0,0.0
HUMAN SERVICES,VINELAND DEVELOPMENTAL CENTER,452,4451.08,1575.82,13000.55,25.06,91068.28,0,0.0
EDUCATION,MARIE H KATZENBACH SCHOOL FOR THE DEAF,71,4317.3,1823.57,9914.54,131.0,42350.49,0,0.0
HEALTH AND SENIOR SERVICES,DIVISION OF MENTAL HEALTH SERVICES,10,4272.35,3646.61,5585.45,205.22,68996.12,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,FINANCE TREASURY,1,4269.03,4269.03,4269.03,4269.03,4269.03,0,0.0
LABOR,DISABILITY DETERMINATIONS,249,4259.27,3282.2,5962.84,23.16,32515.85,0,0.0
MILITARY AND VETERANS AFFAIRS,VA - VINELAND,411,4258.02,2176.72,10291.92,12.63,76792.19,0,0.0
NEW JERSEY ECONOMIC DEVELOPMENT AUTHORITY,COMMUNITY/BUSINESS DEVELOPMENT,1,4175.35,4175.35,4175.35,4175.35,4175.35,0,0.0
STATE,OFFICE OF SECRETARY OF STATE,2,4105.31,2987.9,5222.72,1870.5,6340.12,0,0.0
HUMAN SERVICES,DIVISION OF AGING SERVICES,6,4028.22,2208.04,5675.24,1125.26,80004.08,0,0.0
DIVISION OF ELDERLY ADVOCACY/OMBUDSPERSON FOR THE INSTITUTIONALIZED ELDERLY,DIVISION OF ELDER ADVOCACY,1,3994.38,3994.38,3994.38,3994.38,3994.38,0,0.0
MOTOR VEHICLE COMMISSION,"SECURITY, INVESTIGATIONS & INTERNAL AUDITS",11,3990.3,2928.54,6070.04,500.34,10854.56,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,JARC PURELAND SHUTTLE,17,3986.67,1578.38,6226.19,25.5,18844.94,0,0.0
ENVIRONMENTAL PROTECTION,ENGINEERING AND CONSTRUCTION,24,3970.92,873.52,8866.56,72.24,42150.05,0,0.0
LABOR,LABOR RELATIONS & WORKPLACE STANDARDS,20,3917.24,3083.74,6401.56,852.55,34608.68,0,0.0
ENVIRONMENTAL PROTECTION,GREEN ACRES,2,3880.03,1948.3,5811.75,16.58,7743.48,0,0.0
ENVIRONMENTAL PROTECTION,PARKS & FORESTRY,401,3851.53,937.1,17175.6,12.0,145972.8,5,1.25
TRANSPORTATION,ACCOUNTING/AUDITING/CIVIL RIGHTS,5,3788.65,3594.1,4006.03,1180.78,17405.51,0,0.0
HEALTH AND SENIOR SERVICES,PUBLIC HEALTH & ENVIRONMENTAL & LABORATORIES,32,3779.43,1373.1,7207.92,241.2,9971.99,0,0.0
HUMAN SERVICES,HUNTERDON ADMINISTRATION,101,3752.0,936.02,11116.72,29.02,65265.89,0,0.0
OFFICE OF THE PUBLIC DEFENDER,OFFICE OF THE PUBLIC DEFENDER,17,3737.11,2189.41,6367.5,40.59,9249.62,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,FINANCE PAYROLL,7,3558.01,1817.13,5442.93,989.23,6903.25,0,0.0
MILITARY AND VETERANS AFFAIRS,VETERAN HAVEN NORTH,76,3557.68,1598.18,11461.79,15.0,46067.93,0,0.0
NEW JERSEY HOUSING & MORTGAGE FINANCING AGENCY,OPERATIONS,8,3550.68,1967.15,19870.9,128.76,41027.32,0,0.0
LABOR,LABOR RELATIONS,20,3485.7,1899.4,5141.95,343.68,13305.73,0,0.0
TRANSPORTATION,CONSTRUCTION & MATERIALS,402,3425.04,1410.14,7303.57,47.78,52712.41,0,0.0
ELECTION LAW ENFORCEMENT,NEW JERSEY ELECTION LAW ENFORCEMENT COMMISSION,1,3424.3,3424.3,3424.3,3424.3,3424.3,0,0.0
TREASURY,CONSTRUCTION MANAGEMENT SERVICES,2,3422.37,2931.56,3913.18,2440.76,4403.98,0,0.0
HUMAN SERVICES,VINELAND DEVELOPMENTAL CENTER - SOUTHERN REGION,10,3382.59,1933.39,4159.37,215.45,9926.21,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,FINANCE REVENUE CONTROL,10,3362.41,1844.02,5240.83,186.12,10373.36,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,ROADWAY ADMINISTRATION,5,3357.01,842.4,3796.81,225.53,6091.79,0,0.0
TREASURY,ADMINISTRATION - CAPITAL POST OFFICE,19,3311.12,2119.32,4773.98,123.96,8340.12,0,0.0
HUMAN SERVICES,DIVISION OF FAMILY DEVELOPMENT,7,3275.0,1362.5,3975.0,625.0,8996.41,0,0.0
HUMAN SERVICES,GREEN BROOK REGIONAL CENTER-UPPER CENTRAL,5,3271.16,1617.41,3983.07,1133.7,5448.05,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,SOFTWARE QUALITY ASSURANCE,1,3257.42,3257.42,3257.42,3257.42,3257.42,0,0.0
TRANSPORTATION,OFFICE OF THE COMMISSIONER,5,3084.7,3056.4,5106.16,1640.24,13902.01,0,0.0
ENVIRONMENTAL PROTECTION,SITE REMEDIATION,74,3063.1,839.2,6669.2,62.94,33013.81,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,EMERGENCY SERVICE PATROL,13,3058.62,1777.86,7852.55,617.1,9789.87,0,0.0
AGRICULTURE,AGRICULTURE - FEDERAL FUNDS,10,3055.08,1412.8,3903.98,489.16,5654.81,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 15X,5,3032.7,783.0,4119.48,783.0,4939.77,0,0.0
CORRECTIONS,DIVISION OF PROGRAM AND COMMUNITY SERVICES,1,3028.1,3028.1,3028.1,3028.1,3028.1,0,0.0
CHILDREN AND FAMILIES,CHILDREN'S BEHAVIORAL HEALTH SERVICES,1,2986.43,2986.43,2986.43,2986.43,2986.43,0,0.0
TRANSPORTATION,DESIGN SERVICES,222,2958.94,1350.41,8320.05,32.43,81111.91,0,0.0
MILITARY AND VETERANS AFFAIRS,MILITARY AND VETERAN'S AFFAIRS,141,2953.15,1160.3,11662.24,36.71,74782.78,0,0.0
HUMAN SERVICES,GREENBROOK REGIONAL CENTER,175,2940.11,1815.6,5307.75,20.94,56396.58,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,CONTRACTS & COMPLIANCE,2,2912.14,2412.97,3411.31,1913.8,3910.48,0,0.0
ENVIRONMENTAL PROTECTION,ENVIRONMENTAL REGULATIONS,26,2909.1,1546.62,5600.72,62.48,11538.43,0,0.0
NEW JERSEY SPORTS & EXPOSITION AUTHORITY,FACILITIES,5,2869.84,2136.02,10187.71,669.02,12773.74,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 6,36,2846.8,874.94,8686.72,245.16,36546.57,0,0.0
STATE PAROLE BOARD,NEW JERSEY STATE PAROLE BOARD,415,2846.39,1282.84,6111.22,45.45,109961.26,1,0.24
ENVIRONMENTAL PROTECTION,LAND USE MANAGEMENT,42,2846.12,313.42,8061.79,28.72,17299.83,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 14B,5,2824.32,783.0,4581.74,522.0,8144.36,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,PROCUREMENT AND MATERIALS MGMT,3,2784.6,1416.18,4114.62,47.77,5444.65,0,0.0
TREASURY,DIVISION OF PURCHASE AND PROPERTY-DISTRIBUTION CENTER,25,2782.41,677.26,7047.76,243.72,28213.28,0,0.0
LAW AND PUBLIC SAFETY,DIVISION OF CRIMINAL JUSTICE,57,2773.4,688.38,8400.56,13.6,41850.66,0,0.0
CHILDREN AND FAMILIES,PREVENTION AND COMMUNITY PARTNERSHIP,2,2772.01,1538.3,4005.72,304.59,5239.43,0,0.0
CHILDREN AND FAMILIES,ESSEX AND NEWARK REGION,270,2753.22,851.47,8165.93,30.94,39131.31,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 12,14,2743.42,1018.64,4678.45,261.0,12955.19,0,0.0
TREASURY,ADMINISTRATIVE DIVISION,2,2738.22,1445.31,4031.13,152.4,5324.04,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 14,46,2735.24,783.0,5203.89,120.0,16644.01,0,0.0
LAW AND PUBLIC SAFETY,DIVISION OF LAW,16,2681.26,756.35,4431.13,16.05,11424.15,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,CAMDEN SENIOR SERVICES,7,2673.76,1978.5,3666.06,349.5,4820.72,0,0.0
HUMAN SERVICES,VINELAND ADMINISTRATION,51,2627.96,818.38,10129.78,42.69,55651.43,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,ASBURY PARK,29,2616.32,976.8,4294.49,120.0,9725.04,0,0.0
TRANSPORTATION,PROJECT MANAGEMENT,104,2603.06,837.11,5680.1,5.68,24171.88,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 16E,38,2579.67,837.77,4507.75,240.0,18792.54,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 4,24,2573.6,707.58,10760.13,126.87,25664.31,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,ENGINEERING,39,2566.35,766.78,7893.14,59.27,21065.42,0,0.0
ENVIRONMENTAL PROTECTION,ENFORCEMENT,35,2540.41,493.4,8694.38,114.0,22274.75,0,0.0
AGRICULTURE,AGRICULTURE,5,2462.1,696.8,7052.77,122.76,16993.2,0,0.0
COMMUNITY AFFAIRS,COMMUNITY AFFAIRS,91,2432.9,597.94,7060.64,50.97,153766.98,1,1.1
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 1,31,2431.22,783.0,7842.96,126.85,36079.28,0,0.0
TRANSPORTATION,EXTERNAL AND GOVERNMENT AFFAIRS,30,2412.23,510.37,5858.09,97.2,23839.93,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,STATE POLICE,25,2405.86,1127.36,14608.52,48.57,35800.25,0,0.0
CHILDREN AND FAMILIES,UNION/MIDDLESEX REGION,359,2356.91,918.82,5872.0,11.77,55033.84,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 10,26,2327.7,817.25,4667.64,261.0,17473.97,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,TOMS RIVER,30,2320.74,729.45,3732.14,240.0,19537.1,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,TECH DEVICE TECH GSP- DAYS,20,2313.72,1365.12,9804.69,320.89,31876.68,0,0.0
CHILDREN AND FAMILIES,CENTRAL OFFICE,167,2307.69,530.57,8812.62,5.61,46232.14,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 16W,17,2299.15,783.0,5069.49,240.0,18927.28,0,0.0
TRANSPORTATION,PLANNING,6,2285.45,574.31,4356.92,12.87,5685.5,0,0.0
CHILDREN AND FAMILIES,DCF ADMINISTRATION,2,2279.4,1298.88,3259.91,318.36,4240.43,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 15E,17,2277.47,735.48,6836.05,245.16,17993.7,0,0.0
